select_if,indicators,main_chart,nature_all,tabs_childrens
0.012572600000567036,0.03267249999953492,0.030136700000184646,0.03280530000029103,0.12587559999974474
0.009551699999974517,0.027511600000252656,0.02781689999937953,0.028768700000000536,0.14148329999989073
0.007565199999589822,0.027800500000012107,0.030103300000519084,0.03433580000000802,0.10865419999936421
0.007568800000626652,0.03317109999989043,0.030767199999900186,0.02544560000023921,0.10590729999967152
0.00662090000059834,0.029387699999460892,0.022028100000170525,0.030250900000282854,0.09617219999927329
0.008283099999971455,0.026742099999864877,0.02806479999981093,0.029532800000197312,0.0994301999999152
0.004219899999952759,0.02069969999956811,0.012487399999372428,0.012087400000382331,0.04903250000006665
0.002758999999059597,0.014576099998521386,0.013638200000059442,0.011169600000357605,0.040089300000545336
0.0032661000004736707,0.013076900000669411,0.012313799999901676,0.012144399999669986,0.05055489999904239
0.003037899999981164,0.013726199998927768,0.011530699999639182,0.015188499999567284,0.0557518000005075
0.00440580000031332,0.016855699999723583,0.013039200001003337,0.013866799999959767,0.05782750000071246
0.008893199999874923,0.09600000000000364,0.11092409999992014,0.05936039999960485,0.20009950000030585
0.006414699999822915,0.03123830000004091,0.025939799999832758,0.024958800000149495,0.14876189999995404
0.007906699999693956,0.035489399999732996,0.03321060000007492,0.038991100000203005,0.18284110000013243
0.011429599999701168,0.039911400000164576,0.039389999999912106,0.03543080000008558,0.2034150999998019
0.012831500000174856,0.03435429999990447,0.04477189999943221,0.04400349999923492,0.16103730000031646
0.010118700000020908,0.03428340000027674,0.041511000000355125,0.04358629999933328,0.11851750000005268
0.012801200000467361,0.03495110000039858,0.0481285999994725,0.03713950000019395,0.15975149999940186
0.01478060000044934,0.0616848999998183,0.04214109999975335,0.03809940000064671,0.1484466000001703
0.013735300000007555,0.04229289999966568,0.04382690000056755,0.04651709999961895,0.22073959999943327
0.009511399999610148,0.036964500000067346,0.039092999999411404,0.05845709999994142,0.17693249999956606
